"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1090";"RUB";"Туника 191-1 56-66рр";"http://stile-n.ru/products/tunika-191-1-56-66rr";"состав 30% вискоза, 70% полиэстер (трикотаж) Блуза свободная, А-силуэт Длина по спинке - 76см, рукав - 45см";"56, 58, 60, 62, 64, 66";"";"http://stile-n.ru/files/products/1-80_1.800x600.jpg?10dc472a897ad3a85b58e44e6fa82e3e";"http://stile-n.ru/files/products/1-80_1.340x450.jpg?74ef73e15bab55aa4e47f777c62410fa"
"950";"RUB";"Блуза 147-4 56-66рр";"http://stile-n.ru/products/bluza-147-4-56-66rr";"состав 100% хлопок (штапель) Рубашка свободная, на пуговицах Длина по спинке - 90см, по переду 85, рукав- 35см";"56, 58";"";"http://stile-n.ru/files/products/imgp8119.800x600.jpg?2705eca779908d1fec0f5e4b4887b7c4";"http://stile-n.ru/files/products/imgp8119.340x450.jpg?7a2afb4d9233abe238f9964bd6793f69"
"870";"RUB";"Блуза 119-1 56-66р, белая";"http://stile-n.ru/products/bluza-119-1-56-66r-belaya";"состав 100% полиэстер (креп ) Длина блузки - 75см, рукав 30см";"56, 58, 60";"";"http://stile-n.ru/files/products/imgp8181.800x600.jpg?c4ad479285e07ba461a9a75cc21c215b";"http://stile-n.ru/files/products/imgp8181.340x450.jpg?99b224633d0b20a947705807bb03815d"
"990";"RUB";"Жакет 087-2 56-66рр, ярко-желтый";"http://stile-n.ru/products/zhaket-087-2-56-66rr-yarko-zheltyj";"состав 100% вискоза (джинс) Жакет без пугавиц, без подклада Жакет  без кружева на планке Длина по спинке - 70см, рукав - 50см";"64";"";"http://stile-n.ru/files/products/dscf2221.800x600.jpg?12268d7774c9a1d26cd05de3643d6df9";"http://stile-n.ru/files/products/dscf2221.340x450.jpg?891403e0644bb96bf5b3ca70bff6d1bf"
"1150";"RUB";"Жакет 087-4 56-66рр, какао";"http://stile-n.ru/products/zhaket-087-4-56-66rr-kakao";"состав 100% вискоза (джинс) Жакет без пугавиц, без подклада Длина по спинке - 70см, рукав - 50см";"56, 62";"";"http://stile-n.ru/files/products/dscf2259.800x600.jpg?e8b4f368279606fcc0225f6111eaa8ca";"http://stile-n.ru/files/products/dscf2259.340x450.jpg?27502b112d08157c7855d8bfc756a2c4"
"1090";"RUB";"Жакет 087-1 56-66рр джинс";"http://stile-n.ru/products/zhaket-087-1-56-66rr-dzhins";"состав 100% вискоза (джинс) Жакет без пугавиц, без подклада Длина по спинке - 70см, рукав - 50см";"56, 64";"";"http://stile-n.ru/files/products/dscf2199.800x600.jpg?ff1099ccc51cd59809bce7640acd6596";"http://stile-n.ru/files/products/dscf2199.340x450.jpg?40d8255bacbd26252a6858565fd9308e"
"1290";"RUB";"Жилет 227-8 56-66рр";"http://stile-n.ru/products/zhilet-227-8-56-66rr";"состав 100% полиэстер (искуственная замша) Длина по спинке - 80-83см";"60-62, 64-66";"";"http://stile-n.ru/files/products/dscf1081.800x600.jpg?41b82b0625534b119bffea99304498d1";"http://stile-n.ru/files/products/dscf1081.340x450.jpg?72e616a869fcd5abd1907a651808c430"
"1290";"RUB";"Жилет 227-9 56-66рр";"http://stile-n.ru/products/zhilet-227-9-56-66rr";"состав 100% полиэстер (искуственная замша) Длина по спинке - 80-83см";"64-66";"";"http://stile-n.ru/files/products/dscf1057.800x600.jpg?5754b971c9a5dc1eef08873309e36dfa";"http://stile-n.ru/files/products/dscf1057.340x450.jpg?628b132e44ea644477948b2458cc6582"
"750";"RUB";"Блуза 015-4 кошки 56-66рр";"http://stile-n.ru/products/bluza-015-4-koshki-56-66rr";"состав 100% полиэстер (ниагара) Блуза свободная, горловина на завязках Длина блузки 80см";"56-58";"";"http://stile-n.ru/files/products/dscf0276.800x600.jpg?7786d927c1d945658f642d510040ef5a";"http://stile-n.ru/files/products/dscf0276.340x450.jpg?ed60a16975b5c5b60945837e8ee3ded8"
"750";"RUB";"Блуза 015-5 маски 56-66рр";"http://stile-n.ru/products/bluza-015-5-maski-56-66rr";"состав 100% полиэстер (ниагара) Блуза свободная, горловина на завязках Длина блузки 80см";"56-58, 64-66";"";"http://stile-n.ru/files/products/dscf0185.800x600.jpg?03772a9bf0bf2959a25e0e9a874c034a";"http://stile-n.ru/files/products/dscf0185.340x450.jpg?ae0ce0464875f3c4930a9422bcff49b8"
"850";"RUB";"Блуза 157-3 фиолет 54-66рр";"http://stile-n.ru/products/bluza-157-3-fiolet-54-66rr-";"состав 100% полиэстер (шифон) Блузка из двойного шифона, перед и спинка. Перед блузки на запах Длина блузки 75см, рукав 44см";"54, 56, 58";"";"http://stile-n.ru/files/products/dscf7083.800x600.jpg?28e62fb14924cac5a20b96fc1292dcd2";"http://stile-n.ru/files/products/dscf7083.340x450.jpg?1f20fd7c988e4f4c9dbb491222f355ae"
"850";"RUB";"Блуза 157-1  56-66рр";"http://stile-n.ru/products/bluza-157-1-56-66rr";"состав  100% полиэстер (шифон) Блузка из двойного шифона, не прозрачная Имитация запаха Брошь идет в комплекте";"54, 56";"";"http://stile-n.ru/files/products/dscf4554_1.800x600.jpg?e37ea6c2df1382f3bf00805cfa23b38c";"http://stile-n.ru/files/products/dscf4554_1.340x450.jpg?6aef87b8e2abd8e0139cc8aaa6009a96"
"950";"RUB";"Туника 19-6  56-66рр";"http://stile-n.ru/products/tunika-19-6-56-66rr-";"состав 100% полиэстер Длина 70см Туника свободная, спущенный рукав Отлично сочетается с однотонными майками, с однотонными рубашками. Можно носить с юбками, брюками.";"56-58, 60-62";"";"http://stile-n.ru/files/products/DSCF8627.800x600.jpg?9b15b6d648b54c0cf85d8e7dc8778f2a";"http://stile-n.ru/files/products/DSCF8627.340x450.jpg?55680632c9cd027cd22c6bfd83f448f8"
"1390";"RUB";"Джемпер 022-17 56-66рр";"http://stile-n.ru/products/dzhemper-022-17-56-66rr";"состав 60 %вискоза, 35 % полиэстер, эластан 5% (теплый трикотаж)";"56, 58, 60";"";"http://stile-n.ru/files/products/DSCF8688.800x600.jpg?ca9d5a1c11963c2ec76d45d8ede0aecf";"http://stile-n.ru/files/products/DSCF8688.340x450.jpg?17982bc5c006afe5586428b7adaaaf5c"
