"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1090";"RUB";"Сорочка д20-1";"http://stile-n.ru/products/sorochka-d20-1-";"состав 95% вискоза, 5% эластан (вискоза) Сорочка на тонких лямках Длина по спинке 115см Рост модели 172см, размер 58";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf2660.800x600.jpg?13a17c740d2d8676aa2dd532a3227539";"http://stile-n.ru/files/products/parf2660.340x450.jpg?bf3f7e152cf2a74ada58df3aae170db5"
"2480";"RUB";"Костюм 900-4 бел/черн 56-66рр";"http://stile-n.ru/products/kostyum-900-4-belchern-56-66rr";"состав 50% хлопок, 50% полиэстер (трикотаж футер) Джемпер на замке, с карманами, с капюшоном Длина по спинке  - 75см, длина рукава от горловины-76см Брюки на резинке, с карманами, низ брюк на манжете Внутрен.длина брюк - 86см";"56-58";"";"http://stile-n.ru/files/products/parf8505.800x600.jpg?a5cc4b8cf51aa58e42aaa9df39da342e";"http://stile-n.ru/files/products/parf8505.340x450.jpg?764a6cca8e06f14ddf0f6557dc3870e4"
"990";"RUB";"Брюки 16-4 56-66рр";"http://stile-n.ru/products/bryuki-16-4-56-66rr";"состав 100% полиэстер (бархат стреч, цвет синий) Брюки на резинке, с карманами Низ штанины брюк на манжете Внутренняя длина брюк - 92см";"56-58";"";"http://stile-n.ru/files/products/parf8392.800x600.jpg?d4ec7c85cbe2aa07e1a32fa85a414578";"http://stile-n.ru/files/products/parf8392.340x450.jpg?aa7960e5368504746cd61e88e1e18424"
"1390";"RUB";"Домашний комплект д102-21 Клетка 56-66рр";"http://stile-n.ru/products/domashnij-komplekt-d102-21-kletka-56-66rr";"состав 95% вискоза, 5% эластан Комплект - брюки с карманами, на резинке. Брюки выполнены из штапеля. Блуза домашняя - свободная, на манжете. Длина внутрен. брюк - 75 см, длина блузки - 70см";"56-58";"";"http://stile-n.ru/files/products/dscf5160.800x600.jpg?33702e08683efd4b04b98d8ecea9c1b5";"http://stile-n.ru/files/products/dscf5160.340x450.jpg?51eed0995ecbf70e274c49acb1fa005c"
"1390";"RUB";"Домашний комплект Д102-20 Вишня 56-66рр";"http://stile-n.ru/products/domashnij-komplekt-d102-20-vishnya-56-66rr";"состав 95% вискоза, 5% эластан Комплект - брюки с карманами, на резинке. Блуза домашняя - свободная, на манжете. Длина внутрен. брюк - 75 см, длина блузки - 70см";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/dscf4999.800x600.jpg?3f4f409d9f4ee4dfbbe40343264d74f6";"http://stile-n.ru/files/products/dscf4999.340x450.jpg?d56c733137080e52167e449ff840e376"
