"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1480";"RUB";"Платье 074-1 56-66";"http://stile-n.ru/products/plate-074-1-56-66";"состав 30% вискоза, 70% полиэстер(трикотаж) Платье полуприлегающее Длина по спинке - 122см (из них кружево - 14см , длина рукава - 50см";"56";"";"http://stile-n.ru/files/products/1-113.800x600.jpg?dc740e82f58df3f27ae8b211cb1fc4ac";"http://stile-n.ru/files/products/1-113.340x450.jpg?349c0c4bef794e95a6595e786b94ce1b"
"1450";"RUB";"Платье 820-1 56-66рр";"http://stile-n.ru/products/plate-820-1-56-66rr";"состав 60% вискоза, 35% полиэстер, 5% эластан (трикотаж джерси) Длина по спинке - 105см, рукав - 59см";"56, 58, 60, 62, 66";"";"http://stile-n.ru/files/products/1-110.800x600.jpg?b5d1bb146a8d0f154e39d3d1404a32db";"http://stile-n.ru/files/products/1-110.340x450.jpg?d958d670f7f51750094eebbfac690b1a"
"1350";"RUB";"Платье 042-1 56-66рр";"http://stile-n.ru/products/plate-042-1-56-66rr";"состав 30% вискоза, 70% полиэстер (трикотаж слабо растяжим) Платье полуприлегающее, с карманами Без замка Длина по спинке - 112см, рукав 42см";"56";"";"http://stile-n.ru/files/products/1-25.800x600.jpg?5a8c921232df19261c21e3387de87b8c";"http://stile-n.ru/files/products/1-25.340x450.jpg?ec67df4555aef92dd5d47a9965f64524"
"1390";"RUB";"Платье 122-2 пудра 56-66рр";"http://stile-n.ru/products/plate-122-2-pudra-56-66rr";"состав 60% вискоза, 35% полиэстер, 5% эластан (трикотаж-нейлон, плотный) Платье с карманами, без замка Платье свободное, низ слегка расклешенный Длина платья -  108  см, рукав -  39  см Рост модели 165см";"56, 58, 60, 62, 64";"";"http://stile-n.ru/files/products/dscf5730.800x600.jpg?78a91e16e5280a11847d497cbe1ea3b0";"http://stile-n.ru/files/products/dscf5730.340x450.jpg?e846fbd69c227e6b2732b3b39853896e"
"1490";"RUB";"Платье 122-1 56-66рр";"http://stile-n.ru/products/plate-122-1-56-66rr";"состав 60% вискоза, 35% полиэстер, 5% эластан (трикотаж-нейлон, плотный) Платье с карманами, без замка Платье свободное, низ слегка расклешенный Длина платья -  108  см, рукав -  39  см Рост модели 165см";"56, 64";"";"http://stile-n.ru/files/products/dscf5702.800x600.jpg?8ae121127f0cc50b3c22b082f4a4fd58";"http://stile-n.ru/files/products/dscf5702.340x450.jpg?5d275244b15c8ac6e9c2684afd5f9fba"
"1290";"RUB";"Платье 111-2 56-66рр";"http://stile-n.ru/products/plate-111-2-56-66rr-";"состав  60% вискоза, 35%полиэстер, 5%эластан (триоктаж) Платье с пуговицами, имитация баски Длина платья - 105 см, рукав -  46 см Рост модели 165см";"56, 58, 62, 64, 66";"";"http://stile-n.ru/files/products/dscf5971.800x600.jpg?a3b73fd042241a73750a27a4b40e7676";"http://stile-n.ru/files/products/dscf5971.340x450.jpg?aa6a7c0f40d46dcb50b1dfad583e59ae"
"1290";"RUB";"Платье 111-1 56-66рр";"http://stile-n.ru/products/plate-111-1-56-66rr-";"состав  60% вискоза, 35%полиэстер, 5%эластан (триоктаж) Платье с пуговицами, имитация баски Длина платья - 105 см, рукав -  46 см Рост модели 165см";"56, 58, 62, 64";"";"http://stile-n.ru/files/products/dscf5285.800x600.jpg?5aee9e4e1ce73b993967987bea83209f";"http://stile-n.ru/files/products/dscf5285.340x450.jpg?5e662175eb7919e0dd575f4f3a611d12"
"1290";"RUB";"Платье 061-15 серое 56-66рр, по 1290 руб";"http://stile-n.ru/products/plate-061-15-seroe-56-66rr-po-1290-rub";"состав 30% вискоза, 70% полиэстер (трикотаж диор) Платье полуприлегающее, без замка, без шлицы Длина по спинке - 106см, рукав 43см";"56, 58, 60, 62, 64, 66";"";"http://stile-n.ru/files/products/dscf3149.800x600.jpg?c098a274f61f506fc2fe521e250dda6d";"http://stile-n.ru/files/products/dscf3149.340x450.jpg?df8c60c2752698e8e728b74d30566c38"
"1300";"RUB";"Платье 170-10 черный 56-64рр";"http://stile-n.ru/products/plate-170-10-chernyj-56-64rr";"состав 70% полиэстер, 30% шерсть (вязанное полотно)  Платье на резинке, длина юбки в платье - 72см Общая длина изделия - 115см";"56, 58";"";"http://stile-n.ru/files/products/DMAT1041_1.800x600.jpg?c198aa08564d91c024b822f401c9954d";"http://stile-n.ru/files/products/DMAT1041_1.340x450.jpg?4d6134a2b2f334514182faabca731d98"
"1300";"RUB";"Платье 170-1 алый 56-64рр";"http://stile-n.ru/products/plate-170-1-alyj-56-64rr";"состав 70% полиэстер, 30% шерсть (вязанное полотно)  Платье на резинке, длина юбки в платье - 72см Общая длина изделия - 115см";"56, 58, 60, 62";"";"http://stile-n.ru/files/products/DSCF2672.800x600.jpg?98c0f3c04009c24e961537d59e1451e9";"http://stile-n.ru/files/products/DSCF2672.340x450.jpg?3fd01ce9c4839515041769026396df7a"
"1290";"RUB";"Платье 013-21 56-64рр";"http://stile-n.ru/products/plate-013-21-56-64rr";"состав 30% вискоза, 70% полиэстер (трикотаж джерси) Платье полуприлегающее, прямое Длина платья 108см, рукав 45см";"56, 58, 60, 62";"";"http://stile-n.ru/files/products/DSCF1748.800x600.jpg?1f0debf5674e5e12c6c87b2769405c40";"http://stile-n.ru/files/products/DSCF1748.340x450.jpg?e02e2aac733f7f81b2f6cb1ea7bb5788"
"1390";"RUB";"Платье 117-10 56-66рр черный";"http://stile-n.ru/products/plate-117-10-56-66rr-chernyj";"состав 100% полиэстер (кружево на атласе) По спинке платья в центральном шве - потайная молния 50 см  Платье со шлицей Длина платья 110 см , рукав 50 см";"56, 58, 62, 64, 66";"";"http://stile-n.ru/files/products/DSCF8484.800x600.jpg?79e9e14794e2e6a1560728bbf744978e";"http://stile-n.ru/files/products/DSCF8484.340x450.jpg?a1c9816a054a1b159701245a7e6c848f"
"1450";"RUB";"Платье 320-3 красное 56-64рр";"http://stile-n.ru/products/320-3";"состав 30% вискоза, 70% полиэстер (трикотаж средней плотности, кружево-стрейч) Платье длиной 108см, рукав 47см";"58, 60, 62, 64";"";"http://stile-n.ru/files/products/DSCF8120.800x600.jpg?34f1d6a7e79eca00d8ed0fc2ea250cce";"http://stile-n.ru/files/products/DSCF8120.340x450.jpg?7545aa1575b8aa358d5fef0288077443"
"1590";"RUB";"Платье 001-07 54-66рр черный+кружево";"http://stile-n.ru/products/plate-001-07-54-66rr-chernyjkruzhevo";"состав 100% полиэстер (креп-трикотаж и кружево стрейч) Верх платья и спинка украшены кокеткой из кружева Платье на резинке с поясом, длина платья - 120 см";"54";"";"http://stile-n.ru/files/products/DSCF9624.800x600.jpg?6a1f6f343879e7c354c63756cd6d7bb1";"http://stile-n.ru/files/products/DSCF9624.340x450.jpg?5293d7ac7fded3812f4440a4b426980f"
"1190";"RUB";"Платье 179 -1 58-68рр";"http://stile-n.ru/products/plate-179--1-58-68rr";"состав 95%вискоза, 5% эластан Платье свободного силуэта Манжет и кокетка выполнены из кружева Длина платья - 110см";"58-62, 64-68";"";"http://stile-n.ru/files/products/DSCF2225.800x600.jpg?efa80693b43f80b801aca7ca06ba051c";"http://stile-n.ru/files/products/DSCF2225.340x450.jpg?3b8fcedc789822077390cbdc1efed41f"
